"DATE_TRUNC('DAY', BLOCK_TIMESTAMP)",SUM(VOLUME)
2022-04-30 00:00:00.000,217507879.984043
2022-05-01 00:00:00.000,133765145.987973
2022-05-02 00:00:00.000,148123279.527876
2022-05-03 00:00:00.000,90080184.3735936
2022-05-04 00:00:00.000,197100413.089246
2022-05-05 00:00:00.000,276793495.187251
2022-05-06 00:00:00.000,207451278.5986
2022-05-07 00:00:00.000,503412837.4263
2022-05-08 00:00:00.000,461044508.924899
2022-05-09 00:00:00.000,993368445.623008
2022-05-10 00:00:00.000,1863558042.67
2022-05-11 00:00:00.000,2316373418.3474
2022-05-12 00:00:00.000,635111000.523275
2022-05-13 00:00:00.000,177107864.029627
2022-05-14 00:00:00.000,210805356.392197
2022-05-15 00:00:00.000,86447181.6502683
2022-05-16 00:00:00.000,168097685.764957
2022-05-17 00:00:00.000,72039728.2219068
2022-05-18 00:00:00.000,75743042.5874555
2022-05-19 00:00:00.000,45711750.4996813
2022-05-20 00:00:00.000,20907610.9978076
2022-05-21 00:00:00.000,40607102.2782789
2022-05-22 00:00:00.000,110914533.349746
2022-05-23 00:00:00.000,269521686.188777
2022-05-24 00:00:00.000,204965881.38133
