Protocol,1664582400,1664668800,1664755200,1664841600,1664928000,1665014400,1665100800,1665187200,1665273600,1665360000,1665446400,1665532800,1665619200,1665705600,1665792000,1665878400,1665964800,1666051200,1666137600,1666224000,1666310400,1666396800,1666483200,1666569600,1666656000,1666742400,1666828800,1666915200,1667001600,1667088000,1667174400,1667260800,1667347200,1667433600,1667520000,1667606400,1667692800,1667779200,1667865600,1667952000,1668038400,1668124800,1668211200,1668297600,1668384000,1668470400,1668556800,1668643200,1668729600,1668816000,1668902400,1668988800,1669075200,1669161600,1669248000,1669334400,1669420800,1669507200,1669593600,1669680000,1669766400,1669852800,1669939200,1670025600,1670112000,1670198400,1670284800,1670371200,1670457600,1670544000,1670630400,1670716800
"0x",2895092.257818954,7250600.795116743,7099895.225648695,8370605.5529045295,4878782.806730325,5925053.667217384,3385243.0494507956,3452330.486354265,3879661.211013545,3936451.0574600077,7265724.974392316,3871336.3917135512,11246727.685420096,6816412.7725637425,4709961.183558683,2615315.9838275616,8531965.233719483,8103952.0955948,3827460.1389699043,5082173.309063606,6065112.163316975,3468475.100956156,4661259.82750988,7148525.169503362,"",14838170.767998258,9731033.177923033,12907046.905242098,9668413.493440911,"",8703801.780193299,7132399.105577685,18217979.94698733,6173711.616751332,15411903.385422975,7345157.732237687,6242976.826024882,7853634.978032705,18559704.244269222,15473146.592508856,20873676.875715297,14815430.767823914,7388407.114252451,6710249.413592921,13599890.392356012,11077562.692117164,11767545.509035721,8946565.92656804,7266843.654225184,3300894.8613617797,13527024.74538867,15224272.265251264,11533632.361647146,12007994.41464686,12493678.55836053,9948629.792736372,6077809.639885328,50126332.39163239,7594607.576310433,7649948.544010241,6401447.682644233,6472359.874861403,7664452.314976268,4070202.858283698,8020623.28961412,10461211.388464408,9268951.335414432,10165118.598925207,3299250.8333432344,8141851.227791236,4466508.945774638,4053054.3265259983
"10KSwap",1219.3753972443487,3503.7284568335326,7734.405202719583,11601.96205003515,6288.0216200441555,8326.178772317358,7565.853955262792,6204.515935742673,7066.157570200857,1682.6358191948502,6992.753316468749,5427.563079859175,3015.258861742661,5280.557761314695,4989.347620104072,7624.870299215463,5685.906320256314,13512.564656230616,19297.537764423603,33828.80113637439,35217.42387562817,38299.8651512543,55256.7345616399,45700.14875386372,58833.98335857161,68936.00746312994,88296.79032584484,75320.95575103819,63367.1008775652,63346.3700276166,71828.2603726729,70114.01540094565,53287.20144446413,76195.28877137337,62466.36416345373,54398.08873301983,61537.36292836178,46244.31897040745,51608.74100845115,66420.0888430397,48540.10769896762,55766.835809585544,30804.333046814674,27160.231710414275,45998.60505978675,60001.14352669981,81571.23837511445,87190.19787635872,142434.6312302471,271870.49763730407,364413.07005395315,279352.7727081055,217162.91141674918,223771.70027791554,193031.33652149135,204929.96244274234,200760.6964687667,264899.10072559037,183888.66807274232,273160.8538390507,230743.75262250283,231416.27268194582,204534.83903433674,222017.16732059777,257737.9125485132,229220.59701525263,237770.94976036955,177114.3747061459,245696.16870883908,160352.12834623145,147579.7125581369,155064.76372398413
"3xcalibur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3649373.120920736,3500110.4280792875,4416968.099997531,2235493.4237170382,1989404.3931183869,1188395.4275969744,286922.81743290875,437172.0305251587,808403.6401395026,1039629.0677592807,666392.5769712607,616804.0523196853,400409.9054103173,358999.4669573502,431020.94676859386,504289.1580340885,"","",478650.86001466407,296241.1252819773,319523.2513698321,129016.01756109462,350431.7866955221,237965.01747205653,352659.09305513167,261270.60661672353,115607.63334635468,186316.8402290071,85745.00854970576,186647.32400215158,143126.31951969222,128272.6129965743,120341.10370961281,94961.2831005387,76665.83330964507,58422.608891223186
"4Swap","","","","","","","","","","","","","","","","","","","",1522873.8899999997,1540056.2000000014,1808568.3500000003,1211449.8199999996,3659107.42,3751738.000000002,3480734.5100000016,3045925.4100000015,2536861.1900000013,4523280.989999999,2595431.0599999987,3286491.3399999994,2456196.7100000014,4377184.98,2045252.7600000014,3727308.3499999996,5166769.755999999,6606231.161999999,8045692.567999997,9485153.973999996,10924615.379999995,"",5230383.979999998,2596889.3300000005,2527287.199999998,4729481.890000003,1907429.6499999992,1682261.199999999,1688811.1599999997,1607673.4999999984,1225590.6399999997,2290682.9099999997,3224805.160000001,"",1842643.7800000005,1278747.4799999997,1133550.9699999993,13197012.680000002,19058927.489999995,7968718.069999997,4127221.160000002,2807945.979999996,2877405.519999999,4398886.4399999995,2216606.819999999,5246776.24,3421005.93,1490216.3199999996,1748808.1400000001,1442713.4400000006,1108256.5700000005,776824.3400000001,816813.8499999997
"Aldrin",361156.9835385084,444547.94117832184,622303.9206373692,509746.7812205553,463826.4225797653,445843.97372329235,"",132404.73443448544,137301.1572562456,416602.34717202187,773159.4381912947,217174.86996233463,115637.82005238533,35623.8650752306,28504.837466955185,112380.35844397545,175718.24608945847,238361.5276249647,205453.06684303284,260980.9014019966,472606.0845850706,143619.3854738474,230739.25481152534,222722.3633121252,537662.7825782299,381112.14334988594,443263.1950224638,303944.5011626482,415742.81920444965,294993.83929634094,453478.5570753813,165109.68825888634,595033.3917447329,413480.2813317776,537785.4514297247,1239745.8108781576,662838.1932512522,1070069.2611374855,5175790.044943929,12299673.60164404,8574437.773525476,2969263.9444055557,678965.7008080482,278562.45217216015,432029.7722276449,175773.38370120525,84963.7945985794,393974.3629205227,98521.81743609905,33589.738689899445,218243.46586811543,223450.75300371647,126033.78512322903,"",114241.40169787407,56479.86157023907,112450.65281414986,27816.834175109863,71689.48877954483,41608.11356759071,57054.42390990257,41281.71620154381,15764.74650657177,13209.064764022827,29267.791564702988,26571.107183218002,27965.67658597231,29360.245988726616,19682.884962797165,40743.15202486515,21266.87615698576,1790.600289106369
"ALEX",255534.97917589545,88957.31391710043,84735.45017802715,169513.60697224736,139445.59017258883,191492.66209566593,102820.53110641241,174471.3447074592,101109.96011424065,262286.9730344415,186987.1649248004,139461.50303635,312344.522202909,122722.6569224298,52950.27081233263,83219.12093156576,113311.35158887506,37720.0477219522,115511.37715086341,139049.5041744113,122437.22982364893,76099.69798657298,50500.87066170573,18456.936125576496,21975.644539631074,25494.35295368565,29013.061367740233,32531.769781794814,36050.47819584939,39569.18660990397,43087.89502395855,"",50125.31185206771,215762.7882554531,79575.28528058529,111544.59125855565,60038.21643918753,67500.14529812336,319882.2156993449,218909.04622530937,187624.74622181058,124261.37407198548,70187.6497361362,62099.54706573486,142590.66814938188,310376.7100419104,136753.8867239952,101204.7225112617,139226.0025487244,23921.895223140717,100967.16892057657,89765.3691933155,76768.68556696177,"",33042.71543750167,142465.60960173607,79223.70148587227,91358.41270938516,841988.1389375329,219458.2139749825,120031.24620383978,103042.33727896214,143335.2844339311,76602.30560696125,104486.09036824107,100193.85502487421,105425.27031472325,259908.42043280602,82738.36709225178,60881.87695872784,350009.68273982406,164863.82155054808
"Algofi Swap","","","","","","","","","","","","","",429649,240438,330152,443548,624536,323338,475777,673841,146397,398944,279683,373491.5,467300,506295,448315,451206,766632,1123020,1238000,1048004,2166889,"",1848306,1401132,1873355,4675215,4500123,3000654,1904946,1122979,876787,1586919,1042447,1174922,697072,785272,1215217,1057011,1008736,"",335340,241948,215314,221209,208874,406341,247360,503940,315823,348184,143946,190705,360681,160552,295423,323838,125189,109128,104596
"ApeSwap AMM",3223082.2993761753,1895244.4992963902,2190648.623089562,2203618.0132051134,2302272.560817529,4641478.311679979,334918.8473525146,1333217.2349565437,1108845.3702325902,1774182.3882022414,1576547.4045904414,1402762.6338430403,2933043.7859437615,1932713.5572921962,1888652.2693184335,2246184.986592313,1890600.815930311,2306030.741650779,1921266.610787331,2064662.6813408155,1701164.5852899319,2011886.3067663678,1508809.9207251838,1746151.6794150865,3338016.9089574264,2575540.37856708,1591694.7302249027,2301058.2052243506,3217190.729775282,2543769.8655829714,3571004.614239233,2697902.4808287146,3440157.1279795733,3692677.316647082,6035696.300759703,4503733.620546627,4471450.262142557,5236721.892860175,15312894.023615463,12322242.770645898,11038250.230040427,6043440.3914773585,7056680.203283173,4983036.365326437,5296151.103266443,3933250.762284893,2914132.1480117,2505941.5407377705,1990406.5831356558,1945947.6883598522,2815780.2243128745,2934989.00161688,2587015.3145889356,3270233.3105848567,2198943.0924882195,2001271.6165256589,1792291.216296351,1274108.5431083837,1847796.3788211532,1546231.2432993266,2184448.279986253,1889622.2020085927,17663631.84177565,1519761.847208949,1156811.835225525,1392269.3780988085,1397680.411208479,1384717.1139835697,1280950.4541345048,1168654.5003418997,1170141.9003952562,988409.5278621305
"Astroport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
